"PASSENGERS","ORIGIN","DEST",
0.00,"MIA","VVI",
0.00,"SJO","MIA",
0.00,"UIO","MIA",
0.00,"BRO","YKF",
0.00,"CKV","TLC",
0.00,"CMI","YQG",
0.00,"DAL","CUU",
0.00,"DAY","SLP",
0.00,"FLO","YQG",
0.00,"IND","CUU",
0.00,"MGM","YXU",
0.00,"MKG","YHM",
0.00,"MTY","YIP",
0.00,"PBC","CHA",
0.00,"SDF","YHM",
0.00,"SDF","YQG",
0.00,"SLW","YIP",
0.00,"TDF","TLC",
0.00,"TOL","SLP",
0.00,"TOL","SLW",
0.00,"YHM","SDF",
0.00,"YHM","YIP",
0.00,"YKF","YIP",
0.00,"YKF","YNG",
0.00,"YNG","YHM",
0.00,"YXU","GYY",
0.00,"YXU","RFD",
0.00,"YXU","SDF",
0.00,"MSY","YVR",
0.00,"YEG","ALB",
0.00,"YVR","FLL",
0.00,"YYC","ANC",
0.00,"ARN","BGR",
0.00,"ATL","LHR",
0.00,"BCN","BGR",
0.00,"BCN","BOS",
0.00,"BCN","SWF",
0.00,"BOM","PHL",
0.00,"DEL","BGR",
0.00,"EWR","YYT",
0.00,"FRA","BGR",
0.00,"STR","BGR",
0.00,"YQX","EWR",
0.00,"YYR","EWR",
0.00,"ANU","TPA",
0.00,"BDA","DEN",
0.00,"BDA","MIA",
0.00,"BDA","SFO",
0.00,"BDA","SNA",
0.00,"BJX","JFK",
0.00,"BOI","PVR",
0.00,"BOI","SJD",
0.00,"BON","DCA",
0.00,"BUF","CUN",
0.00,"BWI","CUN",
0.00,"BZE","AUS",
0.00,"BZE","LAX",
0.00,"BZE","ORD",
0.00,"BZE","SAN",
0.00,"BZE","SEA",
0.00,"BZE","SFO",
0.00,"BZN","CUN",
0.00,"CLE","SJD",
0.00,"CLE","SJO",
0.00,"CUN","ANC",
0.00,"CUN","BUF",
0.00,"CUN","BWI",
0.00,"CUN","BZN",
0.00,"CUN","DCA",
0.00,"CUN","HDN",
0.00,"CUN","ICT",
0.00,"CUN","LGA",
0.00,"CUN","MTJ",
0.00,"CUN","OGG",
0.00,"CUN","ONT",
0.00,"CUN","PHL",
0.00,"CUN","SAT",
0.00,"CUN","TPA",
0.00,"CZM","SAN",
0.00,"EGE","MEX",
0.00,"FLL","BDA",
0.00,"FLL","GUA",
0.00,"FLL","MEX",
0.00,"FLL","NAS",
0.00,"GCM","DEN",
0.00,"GCM","LAX",
0.00,"GCM","PDX",
0.00,"GCM","TPA",
0.00,"GDL","FLL",
0.00,"GDL","LAS",
0.00,"GDL","SJC",
0.00,"GUA","DEN",
0.00,"GUA","SFO",
0.00,"HDN","GUA",
0.00,"HDN","MID",
0.00,"LAS","CZM",
0.00,"LAS","MEX",
0.00,"LAS","PTY",
0.00,"LAS","SJO",
0.00,"LGA","MGA",
0.00,"LGA","MID",
0.00,"LIR","BOS",
0.00,"LIR","IAD",
0.00,"LIR","MIA",
0.00,"LIR","MSY",
0.00,"LIR","PBI",
0.00,"LIR","PDX",
